UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Snapchat Support,@snapchatsupport,2021-01-01T23:36:18.000Z,"Replying to 
@Heart0fachmpion","There are a few reasons your account could be locked Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,1,,,[],https://twitter.com/snapchatsupport/status/1345151894881259520
Snapchat Support,@snapchatsupport,2021-01-01T23:35:30.000Z,"Replying to 
@Gh0stGirl0","There are a few reasons your account could be locked Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,,,,[],https://twitter.com/snapchatsupport/status/1345151694787796992
Snapchat Support,@snapchatsupport,2021-01-01T20:55:30.000Z,"Replying to 
@ryzeplin","There are a few reasons your account could be locked Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,,,,[],https://twitter.com/snapchatsupport/status/1345111430421508099
Snapchat Support,@snapchatsupport,2021-01-01T19:44:39.000Z,"Hey! There are a few reasons your account could be locked Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,,,,,[],https://twitter.com/snapchatsupport/status/1345093600959410177
Snapchat Support,@snapchatsupport,2021-01-01T19:08:23.000Z,"Replying to 
@jodiichapman","Hey! There are a few reasons your account could be locked Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,2,,,[],https://twitter.com/snapchatsupport/status/1345084472488820736
Snapchat Support,@snapchatsupport,2021-01-01T19:07:28.000Z,"Replying to 
@Esme_Clifton","There are a few reasons your account could be locked Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,2,,,[],https://twitter.com/snapchatsupport/status/1345084244201234440
Snapchat Support,@snapchatsupport,2021-01-01T16:50:40.000Z,"Replying to 
@JariusGordon","Hey! There are a few reasons your account could be locked Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,1,,,[],https://twitter.com/snapchatsupport/status/1345049813725884420
Snapchat Support,@snapchatsupport,2021-01-01T08:47:41.000Z,"Replying to 
@Fatevenom1","Hey! There are a few reasons your account could be locked Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,1,,1,[],https://twitter.com/snapchatsupport/status/1344928268584169478
Snapchat Support,@snapchatsupport,2021-01-01T08:46:57.000Z,"Replying to 
@Malak78774900","Hey! There are a few reasons your account could be locked. Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,1,,,[],https://twitter.com/snapchatsupport/status/1344928085322424320
Snapchat Support,@snapchatsupport,2021-01-01T06:48:27.000Z,"Replying to 
@JustinFitzsim17","There are a few reasons your account could be locked. Learn more here: http://support.snapchat.com/a/locked
Team Snapchat is unable to unlock your account during this time.

If you're seeing a generic Login Error message, check out this link: http://support.snapchat.com/article/account-questions…",,1,,,[],https://twitter.com/snapchatsupport/status/1344898260889165829
